epoch,train_loss,train_acc,valid_loss,valid_acc,lr
1,2.049187,0.217949,1.971462,0.363636,0.0004
2,1.721791,0.58547,1.380723,0.590909,0.0003975438
3,0.993947,0.739316,0.556998,0.772727,0.0003902358
4,0.416827,0.871795,0.648733,0.681818,0.0003782558
5,0.266176,0.876068,1.771854,0.590909,0.0003618989
6,0.216825,0.91453,1.478177,0.590909,0.0003415678
7,0.105421,0.961538,1.385451,0.681818,0.0003177632
8,0.098884,0.970085,0.310895,0.863636,0.0002910711
9,0.060642,0.974359,0.069719,0.954545,0.0002621489
10,0.059165,0.974359,0.891722,0.772727,0.0002317087
11,0.064109,0.982906,0.231538,0.909091,0.0002005
12,0.022818,0.995726,0.272183,0.909091,0.0001692913
13,0.028347,0.995726,0.168997,0.954545,0.0001388511
14,0.013841,0.995726,0.158346,0.954545,0.0001099289
15,0.031207,0.991453,0.050868,0.954545,8.32368e-05
16,0.020785,0.991453,0.033204,1.0,5.94322e-05
17,0.030832,0.991453,0.02751,1.0,3.91011e-05
18,0.03477,0.991453,0.032852,0.954545,2.27442e-05
19,0.034171,0.982906,0.03542,0.954545,1.07642e-05
20,0.033254,0.991453,0.033941,0.954545,3.4562e-06
