epoch,train_loss,train_acc,valid_loss,valid_acc,lr
1,1.956447,0.282051,1.88297,0.045455,0.0005
2,1.459754,0.478632,1.184221,0.5,0.0004980326
3,0.812848,0.764957,0.715488,0.636364,0.0004921615
4,0.492565,0.816239,0.352178,0.818182,0.0004824792
5,0.313845,0.897436,0.200856,0.954545,0.0004691385
6,0.217207,0.935897,0.148956,0.954545,0.0004523497
7,0.161445,0.952991,0.104973,0.954545,0.0004323777
8,0.134119,0.957265,0.17191,0.954545,0.0004095373
9,0.109489,0.965812,0.169158,0.954545,0.0003841888
10,0.084001,0.978632,0.107097,0.954545,0.0003567319
11,0.13553,0.961538,0.050234,0.954545,0.0003275997
12,0.101419,0.961538,0.050367,0.954545,0.0002972516
13,0.100103,0.974359,0.02601,1.0,0.0002661662
14,0.130739,0.948718,0.042567,0.954545,0.0002348338
15,0.062493,0.965812,0.048231,0.954545,0.0002037484
16,0.076336,0.978632,0.052336,0.954545,0.0001734003
17,0.043971,0.982906,0.068628,0.954545,0.0001442681
18,0.061623,0.970085,0.064487,0.954545,0.0001168112
19,0.039912,0.987179,0.067829,0.954545,9.14627e-05
20,0.066471,0.970085,0.073953,0.954545,6.86223e-05
21,0.030481,0.991453,0.056348,0.954545,4.86503e-05
22,0.052923,0.974359,0.057709,0.954545,3.18615e-05
23,0.050288,0.987179,0.057336,0.954545,1.85208e-05
24,0.027864,0.991453,0.060423,0.954545,8.8385e-06
25,0.072105,0.978632,0.062061,0.954545,2.9674e-06
