epoch,train_loss,train_acc,valid_loss,valid_acc,lr
1,1.829715,0.371795,2.08362,0.181818,0.0005
2,0.857815,0.799145,1.620383,0.318182,0.0004969282
3,0.339985,0.880342,0.846204,0.590909,0.0004877886
4,0.284557,0.871795,0.997209,0.727273,0.0004728061
5,0.123312,0.970085,0.350399,0.863636,0.0004523497
6,0.063101,0.987179,0.173583,0.954545,0.0004269231
7,0.06754,0.982906,0.214791,0.954545,0.0003971524
8,0.022519,0.995726,0.276975,0.818182,0.0003637706
9,0.034088,0.987179,0.156997,0.909091,0.0003275997
10,0.025255,0.995726,0.140683,0.954545,0.0002895304
11,0.016718,0.995726,0.157637,0.954545,0.0002505
12,0.010622,1.0,0.161008,0.954545,0.0002114696
13,0.014888,0.995726,0.133856,0.954545,0.0001734003
14,0.006878,1.0,0.104671,0.954545,0.0001372294
15,0.038889,0.987179,0.116481,0.954545,0.0001038476
16,0.018126,0.991453,0.132748,0.954545,7.40769e-05
17,0.013459,0.995726,0.145464,0.954545,4.86503e-05
18,0.010103,0.995726,0.156571,0.954545,2.81939e-05
19,0.013115,0.995726,0.157989,0.954545,1.32114e-05
20,0.007613,1.0,0.160596,0.954545,4.0718e-06
